"","Label","Area"
"125","P2ry12_4_F_2xLPS_FC_IL.tif:IL",712421.713478911
"126","P2ry12_4_F_2xLPS_FC_PL.tif:PL",534102.60022777
"127","P2ry12_4_F_2xLPS_HC_CA1.tif:CA1",576560.046523735
"128","P2ry12_4_F_2xLPS_HC_CA2.tif:CA2",367363.913208989
"129","P2ry12_4_F_2xLPS_HC_CA3.tif:CA3",513501.335214484
"130","P2ry12_4_F_2xLPS_HC_DG.tif:DG",697364.143207915
"131","P2ry12_4_F_2xLPS_STR_CP.tif:CP",2491027.79423088
"132","P2ry12_4_F_2xLPS_STR_NA.tif:NA",1019029.05974983
"133","P2ry12_5_M_PBS_FC_ACC.tif:ACC",342438.245680333
"134","P2ry12_5_M_PBS_FC_IL.tif:IL",621186.403272049
"135","P2ry12_5_M_PBS_FC_PL.tif:PL",478617.560347529
"136","P2ry12_5_M_PBS_HC_CA1.tif:CA1",319752.024208117
"137","P2ry12_5_M_PBS_HC_CA2.tif:CA2",167682.011663373
"138","P2ry12_5_M_PBS_HC_CA3.tif:CA3",310099.452407397
"139","P2ry12_5_M_PBS_HC_DG.tif:DG",374588.706515414
"140","P2ry12_5_M_PBS_STR_CP.tif:CP",2534501.47571169
"141","P2ry12_5_M_PBS_STR_NA.tif:NA",1524481.973796
"142","P2ry12_6_M_2xLPS_FC_ACC.tif:ACC",362367.759999454
"143","P2ry12_6_M_2xLPS_HC_CA1.tif:CA1",1049217.3483257
"144","P2ry12_6_M_2xLPS_HC_CA2.tif:CA2",142880.434549319
"145","P2ry12_6_M_2xLPS_HC_CA3.tif:CA3",584576.287307023
"146","P2ry12_6_M_2xLPS_HC_DG.tif:DG",840552.131990554
"147","P2ry12_6_M_2xLPS_STR_CP.tif:CP",3401907.96089019
"148","P2ry12_6_M_2xLPS_STR_NA.tif:NA",1953669.98774906
